"CITY","total_contributions","number_of_contributions"
"ROUGH AND READY",650,6
"CEDARVILLE",620,13
"SMARTSVILLE",620,12
"TUOLUMNE",620,24
"TAHOMA",610,6
"BIG SUR",605,14
"GEORGETOWN",605,27
"COLUSA",604,22
"TOMALES",602.5,20
"BRADLEY",600,2
"CAMPTONVILLE",600,6
"INDEPENDENCE",600,3
"LYTLE CREEK",600,2
"MOKELUMNE HILL",600,9
"PORTOLA HILLS",600,3
"WEIMAR",600,8
"WHEATLAND",600,6
"CHESTER",596,15
"LITTLE RIVER",596,17
"BLYTHE",590,17
"ALTURAS",570,3
"NORTH HIGHLANDS",564,10
"SAUGUS",560,8
"SUN CITY",558,15
"JAMESTOWN",553,20
"KINGSBURG",553,17
"BODEGA",550,7
"SUGARLOAF",550,5
"CARNELIAN BAY",545,11
"CHOWCHILLA",545,9
"SHELL BEACH",540,12
"MONTAGUE",536,17
"BIG BEAR CITY",535,5
"FOUNTAIN VLY",535,2
"GRAEAGLE",535,11
"WINDSOR HILLS",530,9
"DUNCANS MILLS",520,9
"MIRAMONTE",520,11
"MOUNTAIN CENTER",520,7
"SOLEDAD",516,20
"CAPO BEACH",515,11
"DILLON BEACH",515,10
"POTTER VALLEY",513,10
"PILOT HILL",512,24
"ALTAVILLE",500,2
"GRIDLEY",500,6
"JUNCTION CITY",500,5
"RIVER PINES",500,1
"SAN FERNANDO",500,4
"WATERFORD",500,4
"OREGON HOUSE",495,13
"LEMOORE",493,13
"APPLEGATE",485,13
"LAKE SHERWOOD",485,7
"AGOURA",475,6
"BRIONES",475,8
"LLANO",466,20
"SHADOW HILLS",460,21
"JENNER",450,7
"NORD",450,2
"WEST POINT",450,5
"PRUNEDALE",448,8
"CORNING",444,9
"KINGS BEACH",436,10
"SHASTA LAKE",430,7
"SANTA FE SPRINGS",426,16
"PACOIMA",420,8
"WINTON",420,8
"ANZA",410,19
"PIRU",404,11
"DINUBA",400,4
"HUNTINGTN BCH",400,5
"INYOKERN",400,6
"LOCKEFORD",400,7
"LOYALTON",400,2
"WOODLAND HLS",400,6
"LOS MOLINOS",395,7
"FORBESTOWN",390,14
"BELL CANYON",385,7
"LANDERS",385,5
"CITY OF INDUSTRY",375,5
"DEL REY OAKS",375,4
"FAWNSKIN",375,5
"FIDDLETOWN",375,6
"FULTON",375,11
"LAYTONVILLE",375,3
"PRATHER",375,9
"NORTH FORK",365,7
"BOYES HOT SPRINGS",350,5
"COMMERCE",350,5
"JUNE LAKE",350,5
"LITTLEROCK",350,7
"NUEVO",350,2
"YORKVILLE",350,3
"AVALON",345,17
"HANSEN HILLS",340,6
"LAKE ISABELLA",340,5
"FRENCH CAMP",325,4
"MOUNT HERMON",325,4
"COULTERVILLE",320,4
"LOS ALAMOS",320,6
"RUMSEY",310,11
"ELVERTA",305,7
"RIO DELL",305,11
"AGUA DULCE",300,3
"ARLETA",300,4
"BONNY DOON",300,2
"BRAWLEY",300,5
"CALIMESA",300,4
"LINDEN",300,3
"LOMA MAR",300,4
"OAK HILLS",300,4
"OLIVEHURST",300,4
"RSM",300,3
"TRONA",300,4
"WESTLAKE VLG",300,3
"WESTWOOD",300,4
"NAVARRO",295,5
"MORONGO VALLEY",290,7
"TAYLORSVILLE",285,5
"MIRANDA",280,7
"UPPER LAKE",280,17
"AVERY",275,8
"CANYON CNTRY",275,5
"POINT ARENA",275,4
"LOTUS",270,6
"IMPERIAL",265,5
"REDWOOD EST",260,2
"WARNER SPRINGS",260,7
"GASQUET",253,8
"BELL GARDENS",250,3
"COLOMA",250,1
"HOMEWOOD",250,4
"KING CITY",250,3
"LAKE HUGHES",250,3
"MARKLEEVILLE",250,4
"MI WUK VLG",250,1
"PETROLIA",250,1
"SAMOA",250,3
"SMITH RIVER",250,1
"VOLCANO",250,1
"WISHON",250,1
"WOODLAKE",250,3
"CLEARLAKE",245,7
"N HOLLYWOOD",245,6
"POPE VALLEY",245,5
"BRANSCOMB",242,6
"IGO",240,5
"MATHER",240,3
"AHWAHNEE",235,7
"CATHEYS VALLEY",235,5
"EDWARDS",235,3
"LUCERNE VALLEY",233,8
"CEDAR RIDGE",230,6
"CHERRYLAND",230,5
"DUNSMUIR",226,4
"DRYTOWN",225,3
"LINDSAY",225,4
"LYNWOOD",225,7
"PAUMA VALLEY",225,8
"MECCA",220,6
"PORTOLA",220,7
"SAN YSIDRO",220,5
"ARTESIA",215,5
"COLUMBIA",210,4
"BEAR VALLEY",200,2
"CADIZ",200,2
"CALPELLA",200,2
"CAMP CONNELL",200,2
"CEDAR GLEN",200,2
"COMPTCHE",200,2
"DOWNIEVILLE",200,2
"HAYFORK",200,3
"HUGHSON",200,3
"JANESVILLE",200,2
"KEENE",200,3
"LOLETA",200,2
"MCARTHUR",200,3
"MEADOW VALLEY",200,4
"MOCCASIN",200,2
"MOUNTAIN RANCH",200,2
"NICOLAUS",200,2
"ORANGE COVE",200,3
"PIONEERTOWN",200,2
"PORT COSTA",200,2
